label,pattern,attr,replace,notes
life_stage,[imm],lower,Juvenile,
life_stage,1 mo,lower,Juvenile,
life_stage,100% ossified,lower,Adult,
life_stage,1st winter,lower,Juvenile,
life_stage,1st year,lower,Juvenile,
life_stage,1st yr,lower,Juvenile,
life_stage,1st.yr.,lower,Juvenile,
life_stage,4 days old,lower,Juvenile,
life_stage,5 days old,lower,Juvenile,
life_stage,6-7 days old.,lower,Juvenile,
life_stage,aad.,lower,Adult,
life_stage,ad,lower,Adult,
life_stage,ad ?,lower,Adult,
life_stage,ad sk.,lower,Adult,
life_stage,"ad-3 yr,11+mo",lower,Adult,
life_stage,ad?,lower,Adult,
life_stage,ad.,lower,Adult,
life_stage,ad. 1st.yr.,lower,Adult,
life_stage,ad. os.,lower,Adult,
life_stage,ad. s.f.o.,lower,Adult,
life_stage,ad. s.o.,lower,Adult,
life_stage,ad. sfo,lower,Adult,
life_stage,ad. sk.,lower,Adult,
life_stage,ad. sk. oss.,lower,Adult,
life_stage,ad. sk.2 layer,lower,Adult,
life_stage,ad. sk.oss.,lower,Adult,
life_stage,ad. yearling,lower,Adult,
life_stage,ad.; sk. oss.,lower,Adult,
life_stage,ad.; sk.oss.,lower,Adult,
life_stage,ad.?,lower,Adult,
life_stage,ad..,lower,Adult,
life_stage,ad.oss.,lower,Adult,
life_stage,ad.sk,lower,Adult,
life_stage,ad.sk.,lower,Adult,
life_stage,ad.sk. 1st.yr.,lower,Adult,
life_stage,ad.sk.?,lower,Adult,
life_stage,ad.sk.2 layer,lower,Adult,
life_stage,ad.sk.double,lower,Adult,
life_stage,ad.sk.gran.,lower,Adult,
life_stage,ad.sk.n.f.oss.,lower,Adult,
life_stage,ad.sk.oss.,lower,Adult,
life_stage,adlult skull,lower,Adult,
life_stage,adul,lower,Adult,
life_stage,adult,lower,Adult,
life_stage,adult adult,lower,Adult,
life_stage,adult by plumage,lower,Adult,
life_stage,adult hy,lower,Adult,
life_stage,adult laying,lower,Adult,
life_stage,adult plumage,lower,Adult,
life_stage,adult second year,lower,Adult,
life_stage,adult sfo,lower,Adult,
life_stage,adult skeleton,lower,Adult,
life_stage,adult skull,lower,Adult,
life_stage,adult skull 100% oss,lower,Adult,
life_stage,adult skull and tail,lower,Adult,
life_stage,adult skull ossified,lower,Adult,
life_stage,adult skull.,lower,Adult,
life_stage,adult skull100% oss,lower,Adult,
life_stage,adult tail,lower,Adult,
life_stage,adult tail and skull,lower,Adult,
life_stage,adult wings and tail,lower,Adult,
life_stage,adult; over-winter,lower,Adult,
life_stage,adult; skull completely ossified,lower,Adult,
life_stage,adult; skull oss.,lower,Adult,
life_stage,adult; young of year,lower,Adult,
